listing_id_1,listing_id_2
86525.0,330742.0
86525.0,376284.0
86525.0,330527.0
86525.0,319751.0
86525.0,1834565.0
2737751.0,1104306.0
2737751.0,2463952.0
2737751.0,10188276.0
2737751.0,1310052.0
2737751.0,10429686.0
2737751.0,2345966.0
2737751.0,10429273.0
2737751.0,2341401.0
2737751.0,2399052.0
1786.0,658066.0
1786.0,34238.0
80787.0,577973.0
80787.0,629344.0
80787.0,927189.0
80787.0,751362.0
80787.0,806696.0
80787.0,816602.0
80787.0,560099.0
80787.0,864006.0
80787.0,868101.0
80787.0,780984.0
80787.0,704295.0
80787.0,266961.0
1789659.0,1178298.0
1789659.0,1043376.0
1789659.0,1215924.0
1789659.0,1563438.0
1789659.0,1787128.0
1789659.0,1904650.0
1789659.0,1040942.0
1789659.0,697361.0
1789659.0,189321.0
1789659.0,1136209.0
635163.0,367514.0
635163.0,13627.0
635163.0,1170942.0
635163.0,57555.0
635163.0,271363.0
635163.0,1352790.0
289214.0,140178.0
289214.0,3243706.0
289214.0,925020.0
289214.0,130433.0
289214.0,1058836.0
289214.0,931677.0
289214.0,145012.0
289214.0,151823.0
289214.0,1894348.0
2829302.0,1651445.0
2829302.0,1655596.0
2829302.0,1615413.0
2829302.0,964246.0
2829302.0,10316080.0
2829302.0,2936753.0
2829302.0,1618090.0
2829302.0,3161947.0
2829302.0,1603151.0
2829302.0,1610274.0
2829302.0,1645181.0
1043111.0,1006600.0
1043111.0,994086.0
1043111.0,797393.0
1043111.0,995554.0
1043111.0,804640.0
1043111.0,2537185.0
1043111.0,2923708.0
1043111.0,2920972.0
3090747.0,1132272.0
3090747.0,1134047.0
3090747.0,1673281.0
596807.0,1017402.0
596807.0,984267.0
596807.0,10697036.0
596807.0,2061668.0
596807.0,2369764.0
596807.0,1008873.0
596807.0,970853.0
596807.0,792515.0
596807.0,2419755.0
596807.0,2524668.0
596807.0,2528664.0
596807.0,843448.0
596807.0,986925.0
596807.0,1160692.0
173936.0,1903066.0
173936.0,1936260.0
173936.0,1902634.0
173936.0,1775270.0
173936.0,480376.0
173936.0,1837842.0
173936.0,1844081.0
173936.0,1920176.0
174590.0,426123.0
174590.0,862427.0
174590.0,361903.0
174590.0,871253.0
174590.0,793686.0
174590.0,843022.0
174590.0,843741.0
174590.0,226523.0
174590.0,809974.0
174590.0,418268.0
11378.0,1348147.0
11378.0,1958796.0
11378.0,19641.0
11378.0,2314179.0
11378.0,2314006.0
11378.0,59810.0
11378.0,63526.0
11378.0,33932.0
11378.0,19645.0
11378.0,242563.0
11378.0,751811.0
11378.0,105340.0
11378.0,250335.0
11378.0,1761269.0
9467.0,199441.0
9467.0,10084998.0
9467.0,10085023.0
9467.0,42451.0
9467.0,221311.0
9467.0,2881627.0
9467.0,10089273.0
9467.0,197440.0
9467.0,2003425.0
2996453.0,2253395.0
2996453.0,2115197.0
2996453.0,2268094.0
2996453.0,2321222.0
2996453.0,2179829.0
2996453.0,2167977.0
2996453.0,2167207.0
2996453.0,2163025.0
2996453.0,2154278.0
2996453.0,2658105.0
635534.0,74594.0
635534.0,71871.0
635534.0,104335.0
635534.0,104346.0
174286.0,114698.0
174286.0,97740.0
174286.0,3152784.0
174286.0,102013.0
10534026.0,10658083.0
10534026.0,10537343.0
10534026.0,10739650.0
10534026.0,10544983.0
10534026.0,10568425.0
10534026.0,10544981.0
10534026.0,10633578.0
10534026.0,10547891.0
10534026.0,10709898.0
10534026.0,10620416.0
10534026.0,2836347.0
10534026.0,2835966.0
10534026.0,1328245.0
10504322.0,10432973.0
10504322.0,10443476.0
10504322.0,10513885.0
10504322.0,10485686.0
10504322.0,10440257.0
10504322.0,10455460.0
633096.0,205685.0
633096.0,806385.0
633096.0,597199.0
633096.0,10583054.0
633096.0,316098.0
633096.0,300578.0
633096.0,292803.0
633096.0,586604.0
633096.0,566035.0
3085783.0,3263829.0
3085783.0,3288845.0
3085783.0,3157578.0
3085783.0,3135075.0
3085783.0,3214397.0
3085783.0,3236841.0
3085783.0,10016914.0
3085783.0,3247174.0
3085783.0,3112040.0
3085783.0,3190459.0
3085783.0,3270991.0
3085783.0,10039640.0
1784660.0,1322991.0
1784660.0,357130.0
1784660.0,2112280.0
1784660.0,301292.0
1784660.0,2817013.0
1784660.0,10278214.0
1784660.0,354064.0
1266700.0,803069.0
1266700.0,101099.0
1266700.0,101103.0
1266700.0,2469852.0
1266700.0,2506124.0
1266700.0,2521818.0
1266700.0,101540.0
1266700.0,2491840.0
2992782.0,486311.0
2992782.0,2268264.0
2992782.0,997585.0
